Datum;Uhrzeit;Prognose;Ist
2010-01-01;00:00 - 00:15;19211;16990
2010-01-01;00:15 - 00:30;19121;16870
2010-01-01;00:30 - 00:45;18891;16825
2010-01-01;00:45 - 01:00;18743;16693
2010-01-01;01:00 - 01:15;18618;16621
2010-01-01;01:15 - 01:30;18502;16500
2010-01-01;01:30 - 01:45;18284;16299
2010-01-01;01:45 - 02:00;18124;16167
2010-01-01;02:00 - 02:15;17585;16120
2010-01-01;02:15 - 02:30;17436;16046
2010-01-01;02:30 - 02:45;17112;16000
2010-01-01;02:45 - 03:00;16828;15830
2010-01-01;03:00 - 03:15;16680;15722
2010-01-01;03:15 - 03:30;16418;15609
2010-01-01;03:30 - 03:45;16046;15525
2010-01-01;03:45 - 04:00;15697;15408
2010-01-01;04:00 - 04:15;15326;15322
2010-01-01;04:15 - 04:30;15351;15173
2010-01-01;04:30 - 04:45;15349;15042
2010-01-01;04:45 - 05:00;15228;14891
2010-01-01;05:00 - 05:15;15091;14768
2010-01-01;05:15 - 05:30;14900;14640
2010-01-01;05:30 - 05:45;14742;14426
2010-01-01;05:45 - 06:00;14642;14254
2010-01-01;06:00 - 06:15;14283;13820
2010-01-01;06:15 - 06:30;14180;13709
2010-01-01;06:30 - 06:45;14150;13552
2010-01-01;06:45 - 07:00;14159;13483
2010-01-01;07:00 - 07:15;14088;13319
2010-01-01;07:15 - 07:30;14276;13263
2010-01-01;07:30 - 07:45;14504;13303
2010-01-01;07:45 - 08:00;14707;13267
2010-01-01;08:00 - 08:15;14906;13228
2010-01-01;08:15 - 08:30;15169;13389
2010-01-01;08:30 - 08:45;15412;13465
2010-01-01;08:45 - 09:00;15698;13574
2010-01-01;09:00 - 09:15;16131;13813
2010-01-01;09:15 - 09:30;16529;14141
2010-01-01;09:30 - 09:45;16873;14420
2010-01-01;09:45 - 10:00;17140;14701
2010-01-01;10:00 - 10:15;17489;15004
2010-01-01;10:15 - 10:30;17728;15290
2010-01-01;10:30 - 10:45;17946;15611
2010-01-01;10:45 - 11:00;18035;15910
2010-01-01;11:00 - 11:15;18214;16151
2010-01-01;11:15 - 11:30;18519;16481
2010-01-01;11:30 - 11:45;18891;16758
2010-01-01;11:45 - 12:00;19025;16990
2010-01-01;12:00 - 12:15;19205;17275
2010-01-01;12:15 - 12:30;19481;17504
2010-01-01;12:30 - 12:45;19554;17607
2010-01-01;12:45 - 13:00;19337;17613
2010-01-01;13:00 - 13:15;19146;17703
2010-01-01;13:15 - 13:30;19111;17655
2010-01-01;13:30 - 13:45;19027;17647
2010-01-01;13:45 - 14:00;18850;17625
2010-01-01;14:00 - 14:15;18612;17631
2010-01-01;14:15 - 14:30;18451;17548
2010-01-01;14:30 - 14:45;18469;17606
2010-01-01;14:45 - 15:00;18343;17551
2010-01-01;15:00 - 15:15;18199;17527
2010-01-01;15:15 - 15:30;18215;17543
2010-01-01;15:30 - 15:45;18203;17482
2010-01-01;15:45 - 16:00;18341;17401
2010-01-01;16:00 - 16:15;18410;17522
2010-01-01;16:15 - 16:30;18574;17751
2010-01-01;16:30 - 16:45;18858;18081
2010-01-01;16:45 - 17:00;19163;18492
2010-01-01;17:00 - 17:15;19617;18589
2010-01-01;17:15 - 17:30;19634;18810
2010-01-01;17:30 - 17:45;19742;18823
2010-01-01;17:45 - 18:00;19796;18928
2010-01-01;18:00 - 18:15;19867;19169
2010-01-01;18:15 - 18:30;19880;19244
2010-01-01;18:30 - 18:45;19778;19248
2010-01-01;18:45 - 19:00;19742;19109
2010-01-01;19:00 - 19:15;19755;19041
2010-01-01;19:15 - 19:30;19549;18870
2010-01-01;19:30 - 19:45;19572;18702
2010-01-01;19:45 - 20:00;19285;18587
2010-01-01;20:00 - 20:15;19309;18656
2010-01-01;20:15 - 20:30;19088;18388
