Date;Temp
01.01.2010;0.1
02.01.2010;-0.95
03.01.2010;-1.8
04.01.2010;-4.25
05.01.2010;-6.3
06.01.2010;-6.05
07.01.2010;-4.7
08.01.2010;-5.35
09.01.2010;-2.4
10.01.2010;-2.05
11.01.2010;-2
12.01.2010;-2.45
13.01.2010;-3
14.01.2010;0.15
15.01.2010;0.45
16.01.2010;-0.7
17.01.2010;2.4
18.01.2010;3.45
19.01.2010;2.4
20.01.2010;2.35
21.01.2010;2.1
22.01.2010;1.6
23.01.2010;-1.35
24.01.2010;-0.55
25.01.2010;-1.3
26.01.2010;-4.35
27.01.2010;-6.6
28.01.2010;1.15
29.01.2010;1.05
30.01.2010;-1.25
31.01.2010;-1.45
01.02.2010;-0.55
02.02.2010;0.65
03.02.2010;1.75
04.02.2010;3.7
05.02.2010;2.6
06.02.2010;2.4
07.02.2010;2.05
08.02.2010;-2.85
09.02.2010;-4.6
10.02.2010;-4.85
11.02.2010;-3.3
12.02.2010;-2
13.02.2010;-3.05
14.02.2010;-3.1
15.02.2010;-2.1
16.02.2010;-1.2
17.02.2010;-0.65
18.02.2010;3.65
19.02.2010;3.15
20.02.2010;1.5
21.02.2010;1.85
22.02.2010;6.15
23.02.2010;7.8
24.02.2010;9
25.02.2010;9.5
26.02.2010;8.2
27.02.2010;7.65
28.02.2010;8.3
01.03.2010;5.05
02.03.2010;2.35
03.03.2010;1.95
04.03.2010;1.55
05.03.2010;0
06.03.2010;-1
07.03.2010;-2
08.03.2010;-2.15
09.03.2010;-1.2
10.03.2010;1.2
11.03.2010;0.1
12.03.2010;1.75
13.03.2010;4.15
14.03.2010;5.3
15.03.2010;6.15
16.03.2010;6
17.03.2010;7.55
18.03.2010;10.85
19.03.2010;14.05
20.03.2010;13.35
21.03.2010;11.3
22.03.2010;9.65
23.03.2010;9.05
24.03.2010;12.65
25.03.2010;14.9
26.03.2010;10.4
27.03.2010;8.45
28.03.2010;9.5
29.03.2010;11.4
30.03.2010;12.05
31.03.2010;7.35
01.04.2010;5.8
02.04.2010;7.05
03.04.2010;9.05
04.04.2010;8.45
05.04.2010;7.9
06.04.2010;9.95
07.04.2010;13.9
08.04.2010;11.85
09.04.2010;10.55
10.04.2010;9.35
11.04.2010;6.5
12.04.2010;7.45
13.04.2010;10.75
14.04.2010;10.1
15.04.2010;9.35
16.04.2010;8.75
17.04.2010;9.05
18.04.2010;11.7
